drug_row,drug_col,cell_line_name,synergy_bliss
5-FU,ABT-888,A2058,6.256583897
5-FU,ABT-888,A2058,12.3338964
5-FU,ABT-888,A2058,11.6602089
5-FU,ABT-888,A2058,5.145208897
5-FU,AZD1775,A2058,15.76546738
5-FU,AZD1775,A2058,6.522717378
5-FU,AZD1775,A2058,15.18246738
5-FU,AZD1775,A2058,7.360467378
5-FU,BEZ-235,A2058,3.377253224
5-FU,BEZ-235,A2058,3.289815724
5-FU,BEZ-235,A2058,3.428065724
5-FU,BEZ-235,A2058,5.246128224
5-FU,BORTEZOMIB,A2058,-0.426435064
5-FU,BORTEZOMIB,A2058,4.930939936
5-FU,BORTEZOMIB,A2058,3.388939936
5-FU,BORTEZOMIB,A2058,3.371252436
5-FU,DASATINIB,A2058,4.50402609
5-FU,DASATINIB,A2058,9.24783859
5-FU,DASATINIB,A2058,6.99383859
5-FU,DASATINIB,A2058,9.54296359
5-FU,DINACICLIB,A2058,10.68598395
5-FU,DINACICLIB,A2058,4.677858949
5-FU,DINACICLIB,A2058,4.792483949
5-FU,DINACICLIB,A2058,2.696483949
5-FU,ERLOTINIB,A2058,15.69028909
5-FU,ERLOTINIB,A2058,8.511726589
5-FU,ERLOTINIB,A2058,10.00016409
5-FU,ERLOTINIB,A2058,12.13947659
5-FU,GELDANAMYCIN,A2058,4.168146776
5-FU,GELDANAMYCIN,A2058,5.907584276
5-FU,GELDANAMYCIN,A2058,6.830459276
5-FU,GELDANAMYCIN,A2058,7.185021776
5-FU,L778123,A2058,4.541160542
5-FU,L778123,A2058,8.050723042
5-FU,L778123,A2058,9.475785542
5-FU,L778123,A2058,8.623035542
5-FU,LAPATINIB,A2058,8.66640391
5-FU,LAPATINIB,A2058,7.20002891
5-FU,LAPATINIB,A2058,14.72402891
5-FU,LAPATINIB,A2058,7.92427891
5-FU,MK-2206,A2058,13.55405428
5-FU,MK-2206,A2058,4.436304281
5-FU,MK-2206,A2058,8.068054281
5-FU,MK-2206,A2058,8.897929281
5-FU,MK-4827,A2058,-1.02277798
5-FU,MK-4827,A2058,-0.60552798
5-FU,MK-4827,A2058,0.05997202
5-FU,MK-4827,A2058,-1.72315298
5-FU,MK-5108,A2058,13.15720921
5-FU,MK-5108,A2058,6.353146709
5-FU,MK-5108,A2058,7.149396709
5-FU,MK-5108,A2058,5.146396709
5-FU,MK-8669,A2058,12.42675973
5-FU,MK-8669,A2058,7.97863473
5-FU,MK-8669,A2058,10.68150973
5-FU,MK-8669,A2058,11.10244723
5-FU,MK-8776,A2058,13.38939659
5-FU,MK-8776,A2058,2.426084085
5-FU,MK-8776,A2058,5.059584085
5-FU,MK-8776,A2058,7.246334085
5-FU,PD325901,A2058,0.535695844
5-FU,PD325901,A2058,1.170133344
5-FU,PD325901,A2058,3.606695844
5-FU,PD325901,A2058,9.489820844
5-FU,SORAFENIB,A2058,8.998218652
5-FU,SORAFENIB,A2058,21.43559365
5-FU,SORAFENIB,A2058,10.83646865
5-FU,SORAFENIB,A2058,15.70940615
5-FU,SUNITINIB,A2058,11.42638764
5-FU,SUNITINIB,A2058,20.44982514
5-FU,SUNITINIB,A2058,12.97426264
5-FU,SUNITINIB,A2058,11.77332514
5-FU,TEMOZOLOMIDE,A2058,-4.682934078
5-FU,TEMOZOLOMIDE,A2058,2.206003422
5-FU,TEMOZOLOMIDE,A2058,-0.730746578
5-FU,TEMOZOLOMIDE,A2058,0.222128422
5-FU,ZOLINZA,A2058,9.055498983
5-FU,ZOLINZA,A2058,7.545998983
5-FU,ZOLINZA,A2058,6.744936483
5-FU,ZOLINZA,A2058,17.75412398
ABT-888,BEZ-235,A2058,8.281268004
ABT-888,BEZ-235,A2058,7.199455504
ABT-888,BEZ-235,A2058,21.0550805
ABT-888,BEZ-235,A2058,8.781080504
ABT-888,DINACICLIB,A2058,9.866214869
ABT-888,DINACICLIB,A2058,7.837339869
ABT-888,DINACICLIB,A2058,4.966839869
ABT-888,DINACICLIB,A2058,7.391214869
ABT-888,GELDANAMYCIN,A2058,12.32422248
ABT-888,GELDANAMYCIN,A2058,19.66465998
ABT-888,GELDANAMYCIN,A2058,12.17959748
ABT-888,GELDANAMYCIN,A2058,11.66222248
ABT-888,MK-8669,A2058,15.38145114
ABT-888,MK-8669,A2058,4.331576139
ABT-888,MK-8669,A2058,10.08588864
ABT-888,MK-8669,A2058,9.847201139
ABT-888,MK-8776,A2058,8.203337262
ABT-888,MK-8776,A2058,1.313087262
ABT-888,MK-8776,A2058,0.142587262
ABT-888,MK-8776,A2058,9.177399762
ABT-888,OXALIPLATIN,A2058,4.67704894
ABT-888,OXALIPLATIN,A2058,3.62767394
ABT-888,OXALIPLATIN,A2058,3.10911144
ABT-888,OXALIPLATIN,A2058,6.590024773
ABT-888,SN-38,A2058,20.19755707
ABT-888,SN-38,A2058,23.76768207
ABT-888,SN-38,A2058,21.68936957
ABT-888,SN-38,A2058,24.02436957
ABT-888,SORAFENIB,A2058,38.55128315
ABT-888,SORAFENIB,A2058,39.41972065
ABT-888,SORAFENIB,A2058,13.36590815
ABT-888,SORAFENIB,A2058,54.23834565
ABT-888,TOPOTECAN,A2058,3.255417678
ABT-888,TOPOTECAN,A2058,4.377605178
ABT-888,TOPOTECAN,A2058,0.121980178
ABT-888,TOPOTECAN,A2058,2.316042678
AZD1775,ABT-888,A2058,6.967391634
AZD1775,ABT-888,A2058,10.90145413
AZD1775,ABT-888,A2058,10.69495413
AZD1775,ABT-888,A2058,5.803079134
AZD1775,BEZ-235,A2058,4.597958339
