drug_row,drug_col,cell_line_name,css
5-FU,ABT-888,A2058,25.8275
5-FU,ABT-888,A2058,25.1845
5-FU,ABT-888,A2058,24.3165
5-FU,ABT-888,A2058,21.3075
5-FU,AZD1775,A2058,67.157
5-FU,AZD1775,A2058,63.2855
5-FU,AZD1775,A2058,65.574
5-FU,AZD1775,A2058,62.309
5-FU,BEZ-235,A2058,53.763
5-FU,BEZ-235,A2058,54.154
5-FU,BEZ-235,A2058,53.478
5-FU,BEZ-235,A2058,57.093
5-FU,BORTEZOMIB,A2058,48.3305
5-FU,BORTEZOMIB,A2058,67.579
5-FU,BORTEZOMIB,A2058,63.2925
5-FU,BORTEZOMIB,A2058,58.7775
5-FU,DASATINIB,A2058,33.5575
5-FU,DASATINIB,A2058,40.6195
5-FU,DASATINIB,A2058,37.5855
5-FU,DASATINIB,A2058,40.1935
5-FU,DINACICLIB,A2058,62.6375
5-FU,DINACICLIB,A2058,56.3475
5-FU,DINACICLIB,A2058,52.6305
5-FU,DINACICLIB,A2058,56.4325
5-FU,ERLOTINIB,A2058,52.744
5-FU,ERLOTINIB,A2058,51.151
5-FU,ERLOTINIB,A2058,53.792
5-FU,ERLOTINIB,A2058,51.8765
5-FU,GELDANAMYCIN,A2058,67.527
5-FU,GELDANAMYCIN,A2058,70.256
5-FU,GELDANAMYCIN,A2058,70.847
5-FU,GELDANAMYCIN,A2058,68.466
5-FU,L778123,A2058,41.2925
5-FU,L778123,A2058,47.712
5-FU,L778123,A2058,46.0485
5-FU,L778123,A2058,44.8785
5-FU,LAPATINIB,A2058,47.6565
5-FU,LAPATINIB,A2058,42.6075
5-FU,LAPATINIB,A2058,47.084
5-FU,LAPATINIB,A2058,43.4595
5-FU,MK-2206,A2058,51.75
5-FU,MK-2206,A2058,49.016
5-FU,MK-2206,A2058,48.3485
5-FU,MK-2206,A2058,51.8615
5-FU,MK-4827,A2058,56.842
5-FU,MK-4827,A2058,58.0255
5-FU,MK-4827,A2058,58.491
5-FU,MK-4827,A2058,56.503
5-FU,MK-5108,A2058,57.6555
5-FU,MK-5108,A2058,68.875
5-FU,MK-5108,A2058,60.776
5-FU,MK-5108,A2058,57.358
5-FU,MK-8669,A2058,48.1585
5-FU,MK-8669,A2058,44.934
5-FU,MK-8669,A2058,47.1965
5-FU,MK-8669,A2058,45.283
5-FU,MK-8776,A2058,52.4415
5-FU,MK-8776,A2058,40.5335
5-FU,MK-8776,A2058,52.7485
5-FU,MK-8776,A2058,49.2615
5-FU,PD325901,A2058,39.7135
5-FU,PD325901,A2058,35.7335
5-FU,PD325901,A2058,40.6255
5-FU,PD325901,A2058,45.176
5-FU,SORAFENIB,A2058,67.4665
5-FU,SORAFENIB,A2058,77.9545
5-FU,SORAFENIB,A2058,72.618
5-FU,SORAFENIB,A2058,70.5595
5-FU,SUNITINIB,A2058,54.758
5-FU,SUNITINIB,A2058,63.2465
5-FU,SUNITINIB,A2058,58.2225
5-FU,SUNITINIB,A2058,60.5315
5-FU,TEMOZOLOMIDE,A2058,34.487
5-FU,TEMOZOLOMIDE,A2058,42.441
5-FU,TEMOZOLOMIDE,A2058,37.295
5-FU,TEMOZOLOMIDE,A2058,44.7985
5-FU,ZOLINZA,A2058,68.636
5-FU,ZOLINZA,A2058,67.1825
5-FU,ZOLINZA,A2058,68.3035
5-FU,ZOLINZA,A2058,72.656
ABT-888,BEZ-235,A2058,49.064
ABT-888,BEZ-235,A2058,48.585
ABT-888,BEZ-235,A2058,60.987
ABT-888,BEZ-235,A2058,51.176
ABT-888,DINACICLIB,A2058,43.524
ABT-888,DINACICLIB,A2058,45.561
ABT-888,DINACICLIB,A2058,43.4525
ABT-888,DINACICLIB,A2058,49.6025
ABT-888,GELDANAMYCIN,A2058,65.2805
ABT-888,GELDANAMYCIN,A2058,70.819
ABT-888,GELDANAMYCIN,A2058,63.985
ABT-888,GELDANAMYCIN,A2058,63.3085
ABT-888,MK-8669,A2058,29.629
ABT-888,MK-8669,A2058,20.5825
ABT-888,MK-8669,A2058,18.815
ABT-888,MK-8669,A2058,24.0515
ABT-888,MK-8776,A2058,29.366
ABT-888,MK-8776,A2058,22.995
ABT-888,MK-8776,A2058,22.216
ABT-888,MK-8776,A2058,25.662
ABT-888,OXALIPLATIN,A2058,33.822
ABT-888,OXALIPLATIN,A2058,31.1815
ABT-888,OXALIPLATIN,A2058,30.3475
ABT-888,OXALIPLATIN,A2058,33.883
ABT-888,SN-38,A2058,58.2035
ABT-888,SN-38,A2058,57.917
ABT-888,SN-38,A2058,63.9605
ABT-888,SN-38,A2058,53.4915
ABT-888,SORAFENIB,A2058,73.449
ABT-888,SORAFENIB,A2058,61.633
ABT-888,SORAFENIB,A2058,57.3325
ABT-888,SORAFENIB,A2058,49.212
ABT-888,TOPOTECAN,A2058,62.093
ABT-888,TOPOTECAN,A2058,62.4115
ABT-888,TOPOTECAN,A2058,55.4235
ABT-888,TOPOTECAN,A2058,62.5625
AZD1775,ABT-888,A2058,45.3275
AZD1775,ABT-888,A2058,48.1875
AZD1775,ABT-888,A2058,42.7245
AZD1775,ABT-888,A2058,47.146
AZD1775,BEZ-235,A2058,77.9185
AZD1775,BEZ-235,A2058,79.2495
AZD1775,BEZ-235,A2058,76.7495
AZD1775,BEZ-235,A2058,77.4415
AZD1775,BORTEZOMIB,A2058,70.369
AZD1775,BORTEZOMIB,A2058,76.1635
AZD1775,BORTEZOMIB,A2058,75.5715
AZD1775,BORTEZOMIB,A2058,84.1355
AZD1775,DASATINIB,A2058,59.5015
AZD1775,DASATINIB,A2058,66.6265
AZD1775,DASATINIB,A2058,64.1985
AZD1775,DASATINIB,A2058,62.5595
AZD1775,DINACICLIB,A2058,70.3155
AZD1775,DINACICLIB,A2058,73.304
AZD1775,DINACICLIB,A2058,60.3695
AZD1775,DINACICLIB,A2058,74.9315
AZD1775,ERLOTINIB,A2058,68.088
AZD1775,ERLOTINIB,A2058,59.952
AZD1775,ERLOTINIB,A2058,68.9825
AZD1775,ERLOTINIB,A2058,62.6285
AZD1775,GELDANAMYCIN,A2058,87.8615
AZD1775,GELDANAMYCIN,A2058,82.751
AZD1775,GELDANAMYCIN,A2058,80.4585
AZD1775,GELDANAMYCIN,A2058,89.035
AZD1775,LAPATINIB,A2058,66.3415
AZD1775,LAPATINIB,A2058,65.3725
AZD1775,LAPATINIB,A2058,70.7695
AZD1775,LAPATINIB,A2058,68.0375
AZD1775,MK-2206,A2058,65.5685
AZD1775,MK-2206,A2058,72.1885
