drug_row,drug_col,cell_line_name,synergy_hsa
5-FU,ABT-888,A2058,5.53690281
5-FU,ABT-888,A2058,11.61421531
5-FU,ABT-888,A2058,10.94052781
5-FU,ABT-888,A2058,4.42552781
5-FU,AZD1775,A2058,18.65633973
5-FU,AZD1775,A2058,9.413589729
5-FU,AZD1775,A2058,18.07333973
5-FU,AZD1775,A2058,10.25133973
5-FU,BEZ-235,A2058,7.140288138
5-FU,BEZ-235,A2058,7.052850638
5-FU,BEZ-235,A2058,7.191100638
5-FU,BEZ-235,A2058,9.009163138
5-FU,BORTEZOMIB,A2058,-2.891193304
5-FU,BORTEZOMIB,A2058,2.466181696
5-FU,BORTEZOMIB,A2058,0.924181696
5-FU,BORTEZOMIB,A2058,0.906494196
5-FU,DASATINIB,A2058,9.598525848
5-FU,DASATINIB,A2058,14.34233835
5-FU,DASATINIB,A2058,12.08833835
5-FU,DASATINIB,A2058,14.63746335
5-FU,DINACICLIB,A2058,12.69336379
5-FU,DINACICLIB,A2058,6.685238795
5-FU,DINACICLIB,A2058,6.799863795
5-FU,DINACICLIB,A2058,4.703863795
5-FU,ERLOTINIB,A2058,18.45130047
5-FU,ERLOTINIB,A2058,11.27273797
5-FU,ERLOTINIB,A2058,12.76117547
5-FU,ERLOTINIB,A2058,14.90048797
5-FU,GELDANAMYCIN,A2058,7.017426957
5-FU,GELDANAMYCIN,A2058,8.756864457
5-FU,GELDANAMYCIN,A2058,9.679739457
5-FU,GELDANAMYCIN,A2058,10.03430196
5-FU,L778123,A2058,9.249062098
5-FU,L778123,A2058,12.7586246
5-FU,L778123,A2058,14.1836871
5-FU,L778123,A2058,13.3309371
5-FU,LAPATINIB,A2058,10.19978535
5-FU,LAPATINIB,A2058,8.733410352
5-FU,LAPATINIB,A2058,16.25741035
5-FU,LAPATINIB,A2058,9.457660352
5-FU,MK-2206,A2058,17.38351216
5-FU,MK-2206,A2058,8.265762158
5-FU,MK-2206,A2058,11.89751216
5-FU,MK-2206,A2058,12.72738716
5-FU,MK-4827,A2058,3.261820486
5-FU,MK-4827,A2058,3.679070486
5-FU,MK-4827,A2058,4.344570486
5-FU,MK-4827,A2058,2.561445486
5-FU,MK-5108,A2058,16.08513562
5-FU,MK-5108,A2058,9.281073118
5-FU,MK-5108,A2058,10.07732312
5-FU,MK-5108,A2058,8.074323118
5-FU,MK-8669,A2058,16.51620311
5-FU,MK-8669,A2058,12.06807811
5-FU,MK-8669,A2058,14.77095311
5-FU,MK-8669,A2058,15.19189061
5-FU,MK-8776,A2058,19.03744261
5-FU,MK-8776,A2058,8.07413011
5-FU,MK-8776,A2058,10.70763011
5-FU,MK-8776,A2058,12.89438011
5-FU,PD325901,A2058,4.483035496
5-FU,PD325901,A2058,5.117472996
5-FU,PD325901,A2058,7.554035496
5-FU,PD325901,A2058,13.4371605
5-FU,SORAFENIB,A2058,7.72410728
5-FU,SORAFENIB,A2058,20.16148228
5-FU,SORAFENIB,A2058,9.56235728
5-FU,SORAFENIB,A2058,14.43529478
5-FU,SUNITINIB,A2058,14.43950348
5-FU,SUNITINIB,A2058,23.46294098
5-FU,SUNITINIB,A2058,15.98737848
5-FU,SUNITINIB,A2058,14.78644098
5-FU,TEMOZOLOMIDE,A2058,1.115217003
5-FU,TEMOZOLOMIDE,A2058,8.004154503
5-FU,TEMOZOLOMIDE,A2058,5.067404503
5-FU,TEMOZOLOMIDE,A2058,6.020279503
5-FU,ZOLINZA,A2058,8.16982953
5-FU,ZOLINZA,A2058,6.66032953
5-FU,ZOLINZA,A2058,5.85926703
5-FU,ZOLINZA,A2058,16.86845453
ABT-888,BEZ-235,A2058,8.043520533
ABT-888,BEZ-235,A2058,6.961708033
ABT-888,BEZ-235,A2058,20.81733303
ABT-888,BEZ-235,A2058,8.543333033
ABT-888,DINACICLIB,A2058,9.406302189
ABT-888,DINACICLIB,A2058,7.377427189
ABT-888,DINACICLIB,A2058,4.506927189
ABT-888,DINACICLIB,A2058,6.931302189
ABT-888,GELDANAMYCIN,A2058,11.995049
ABT-888,GELDANAMYCIN,A2058,19.3354865
ABT-888,GELDANAMYCIN,A2058,11.850424
ABT-888,GELDANAMYCIN,A2058,11.333049
ABT-888,MK-8669,A2058,14.73628351
ABT-888,MK-8669,A2058,3.686408505
ABT-888,MK-8669,A2058,9.440721005
ABT-888,MK-8669,A2058,9.202033505
ABT-888,MK-8776,A2058,7.872561033
ABT-888,MK-8776,A2058,0.982311033
ABT-888,MK-8776,A2058,-0.188188967
ABT-888,MK-8776,A2058,8.846623533
ABT-888,OXALIPLATIN,A2058,2.747226715
ABT-888,OXALIPLATIN,A2058,1.697851715
ABT-888,OXALIPLATIN,A2058,1.179289215
ABT-888,OXALIPLATIN,A2058,4.660202548
ABT-888,SN-38,A2058,19.86860197
ABT-888,SN-38,A2058,23.43872697
ABT-888,SN-38,A2058,21.36041447
ABT-888,SN-38,A2058,23.69541447
ABT-888,SORAFENIB,A2058,36.12315097
ABT-888,SORAFENIB,A2058,36.99158847
ABT-888,SORAFENIB,A2058,10.93777597
ABT-888,SORAFENIB,A2058,51.81021347
ABT-888,TOPOTECAN,A2058,3.091533219
ABT-888,TOPOTECAN,A2058,4.213720719
ABT-888,TOPOTECAN,A2058,-0.041904281
ABT-888,TOPOTECAN,A2058,2.152158219
AZD1775,ABT-888,A2058,6.640220349
AZD1775,ABT-888,A2058,10.57428285
AZD1775,ABT-888,A2058,10.36778285
AZD1775,ABT-888,A2058,5.475907849
AZD1775,BEZ-235,A2058,9.403759515
AZD1775,BEZ-235,A2058,15.55350951
AZD1775,BEZ-235,A2058,14.43819701
AZD1775,BEZ-235,A2058,13.11432201
AZD1775,BORTEZOMIB,A2058,-0.111422629
AZD1775,BORTEZOMIB,A2058,-1.438922629
AZD1775,BORTEZOMIB,A2058,2.949452371
AZD1775,BORTEZOMIB,A2058,3.784139871
AZD1775,DASATINIB,A2058,17.34265982
AZD1775,DASATINIB,A2058,20.59184732
AZD1775,DASATINIB,A2058,17.52753482
AZD1775,DASATINIB,A2058,17.62834732
AZD1775,DINACICLIB,A2058,3.99077181
AZD1775,DINACICLIB,A2058,4.02120931
AZD1775,DINACICLIB,A2058,2.48577181
AZD1775,DINACICLIB,A2058,10.58295931
AZD1775,ERLOTINIB,A2058,10.25577443
AZD1775,ERLOTINIB,A2058,7.001211933
AZD1775,ERLOTINIB,A2058,9.110524433
AZD1775,ERLOTINIB,A2058,11.45802443
AZD1775,GELDANAMYCIN,A2058,14.77481678
AZD1775,GELDANAMYCIN,A2058,7.845316781
AZD1775,GELDANAMYCIN,A2058,9.330504281
AZD1775,GELDANAMYCIN,A2058,12.17825428
AZD1775,LAPATINIB,A2058,11.03400513
AZD1775,LAPATINIB,A2058,14.61931763
AZD1775,LAPATINIB,A2058,8.612942634
AZD1775,LAPATINIB,A2058,10.68088013
AZD1775,MK-2206,A2058,11.85141072
AZD1775,MK-2206,A2058,12.71916072
AZD1775,MK-2206,A2058,11.38978572
AZD1775,MK-2206,A2058,9.21697322
AZD1775,MK-4827,A2058,23.42052282
AZD1775,MK-4827,A2058,22.99127282
AZD1775,MK-4827,A2058,14.13214782
AZD1775,MK-4827,A2058,24.55652282
AZD1775,MK-5108,A2058,4.36868621
AZD1775,MK-5108,A2058,3.22749871
AZD1775,MK-5108,A2058,5.19362371
AZD1775,MK-5108,A2058,2.88249871
AZD1775,MK-8669,A2058,24.58493524
AZD1775,MK-8669,A2058,14.60587274
AZD1775,MK-8669,A2058,16.43962274
AZD1775,MK-8669,A2058,16.21181024
AZD1775,MK-8776,A2058,36.74548405
AZD1775,MK-8776,A2058,38.90623405
AZD1775,MK-8776,A2058,36.44867155
AZD1775,MK-8776,A2058,38.10948405
AZD1775,OXALIPLATIN,A2058,8.125958922
AZD1775,OXALIPLATIN,A2058,5.716958922
AZD1775,OXALIPLATIN,A2058,6.948583922
AZD1775,OXALIPLATIN,A2058,7.982771422
AZD1775,PD325901,A2058,6.645531139
AZD1775,PD325901,A2058,13.83121864
AZD1775,PD325901,A2058,10.89403114
AZD1775,PD325901,A2058,9.932593639
AZD1775,SN-38,A2058,12.996979
AZD1775,SN-38,A2058,10.358354
AZD1775,SN-38,A2058,15.237479
AZD1775,SN-38,A2058,9.882291496
AZD1775,SORAFENIB,A2058,6.785440624
AZD1775,SORAFENIB,A2058,13.48819062
AZD1775,SORAFENIB,A2058,6.998815624
AZD1775,SORAFENIB,A2058,10.61887812
AZD1775,TOPOTECAN,A2058,12.18835213
AZD1775,TOPOTECAN,A2058,10.59747713
AZD1775,TOPOTECAN,A2058,9.070602128
AZD1775,TOPOTECAN,A2058,7.154602128
BEZ-235,DINACICLIB,A2058,4.699487834
BEZ-235,DINACICLIB,A2058,9.712862834
BEZ-235,DINACICLIB,A2058,10.82061283
BEZ-235,DINACICLIB,A2058,10.07067533
BEZ-235,MK-8776,A2058,15.11386322
BEZ-235,MK-8776,A2058,13.57955072
BEZ-235,MK-8776,A2058,19.27948822
BEZ-235,MK-8776,A2058,15.03761322
BEZ-235,OXALIPLATIN,A2058,9.508452084
BEZ-235,OXALIPLATIN,A2058,12.16388958
BEZ-235,OXALIPLATIN,A2058,10.87476458
BEZ-235,OXALIPLATIN,A2058,13.01757708
BEZ-235,SN-38,A2058,5.418486697
BEZ-235,SN-38,A2058,5.287299197
BEZ-235,SN-38,A2058,5.617361697
BEZ-235,SN-38,A2058,7.277174197
BEZ-235,SORAFENIB,A2058,10.19297107
BEZ-235,SORAFENIB,A2058,8.601033574
BEZ-235,SORAFENIB,A2058,10.98415857
BEZ-235,SORAFENIB,A2058,13.22103357
BORTEZOMIB,ABT-888,A2058,1.35664621
BORTEZOMIB,ABT-888,A2058,0.90989621
BORTEZOMIB,ABT-888,A2058,1.71795871
BORTEZOMIB,ABT-888,A2058,6.11158371
BORTEZOMIB,BEZ-235,A2058,2.216828191
BORTEZOMIB,BEZ-235,A2058,6.075140691
BORTEZOMIB,BEZ-235,A2058,2.702953191
BORTEZOMIB,BEZ-235,A2058,4.828390691
BORTEZOMIB,DASATINIB,A2058,5.468899816
BORTEZOMIB,DASATINIB,A2058,-2.745287684
BORTEZOMIB,DASATINIB,A2058,0.908024816
BORTEZOMIB,DASATINIB,A2058,2.401962316
BORTEZOMIB,DINACICLIB,A2058,2.038837285
BORTEZOMIB,DINACICLIB,A2058,-3.737537715
BORTEZOMIB,DINACICLIB,A2058,0.159712285
BORTEZOMIB,DINACICLIB,A2058,-2.582656621
BORTEZOMIB,GELDANAMYCIN,A2058,3.552815829
BORTEZOMIB,GELDANAMYCIN,A2058,2.096003329
BORTEZOMIB,GELDANAMYCIN,A2058,3.744440829
