drug_row,drug_col,cell_line_name,synergy_loewe
5-FU,ABT-888,A2058,-2.750699326
5-FU,ABT-888,A2058,3.326613174
5-FU,ABT-888,A2058,2.652925674
5-FU,ABT-888,A2058,-3.862074326
5-FU,AZD1775,A2058,10.39631799
5-FU,AZD1775,A2058,1.153567992
5-FU,AZD1775,A2058,9.813317992
5-FU,AZD1775,A2058,1.991317992
5-FU,BEZ-235,A2058,3.206634484
5-FU,BEZ-235,A2058,3.119196984
5-FU,BEZ-235,A2058,3.257446984
5-FU,BEZ-235,A2058,5.075509484
5-FU,BORTEZOMIB,A2058,-6.584050571
5-FU,BORTEZOMIB,A2058,-1.226675571
5-FU,BORTEZOMIB,A2058,-2.768675571
5-FU,BORTEZOMIB,A2058,-2.786363071
5-FU,DASATINIB,A2058,8.561537306
5-FU,DASATINIB,A2058,13.30534981
5-FU,DASATINIB,A2058,11.05134981
5-FU,DASATINIB,A2058,13.60047481
5-FU,DINACICLIB,A2058,9.522767505
5-FU,DINACICLIB,A2058,3.514642505
5-FU,DINACICLIB,A2058,3.629267505
5-FU,DINACICLIB,A2058,1.533267505
5-FU,ERLOTINIB,A2058,15.89182918
5-FU,ERLOTINIB,A2058,8.713266683
5-FU,ERLOTINIB,A2058,10.20170418
5-FU,ERLOTINIB,A2058,12.34101668
5-FU,GELDANAMYCIN,A2058,3.046375953
5-FU,GELDANAMYCIN,A2058,4.785813453
5-FU,GELDANAMYCIN,A2058,5.708688453
5-FU,GELDANAMYCIN,A2058,6.063250953
5-FU,L778123,A2058,5.768267835
5-FU,L778123,A2058,9.277830335
5-FU,L778123,A2058,10.70289283
5-FU,L778123,A2058,9.850142835
5-FU,LAPATINIB,A2058,6.724183809
5-FU,LAPATINIB,A2058,5.257808809
5-FU,LAPATINIB,A2058,12.78180881
5-FU,LAPATINIB,A2058,5.982058809
5-FU,MK-2206,A2058,14.37354745
5-FU,MK-2206,A2058,5.255797445
5-FU,MK-2206,A2058,8.887547445
5-FU,MK-2206,A2058,9.717422445
5-FU,MK-4827,A2058,-0.359003745
5-FU,MK-4827,A2058,0.058246255
