drug_row,drug_col,cell_line_name,S
5-FU,ABT-888,A2058,14.7975
5-FU,ABT-888,A2058,14.1545
5-FU,ABT-888,A2058,13.2865
5-FU,ABT-888,A2058,10.2775
5-FU,AZD1775,A2058,30.522
5-FU,AZD1775,A2058,26.6505
5-FU,AZD1775,A2058,28.939
5-FU,AZD1775,A2058,25.674
5-FU,BEZ-235,A2058,-7.2
5-FU,BEZ-235,A2058,-6.809
5-FU,BEZ-235,A2058,-7.485
5-FU,BEZ-235,A2058,-3.87
5-FU,BORTEZOMIB,A2058,-1.2845
5-FU,BORTEZOMIB,A2058,17.964
5-FU,BORTEZOMIB,A2058,13.6775
5-FU,BORTEZOMIB,A2058,9.1625
5-FU,DASATINIB,A2058,7.4365
5-FU,DASATINIB,A2058,14.4985
5-FU,DASATINIB,A2058,11.4645
5-FU,DASATINIB,A2058,14.0725
5-FU,DINACICLIB,A2058,18.9795
5-FU,DINACICLIB,A2058,12.6895
5-FU,DINACICLIB,A2058,8.9725
5-FU,DINACICLIB,A2058,12.7745
5-FU,ERLOTINIB,A2058,33.318
5-FU,ERLOTINIB,A2058,31.725
5-FU,ERLOTINIB,A2058,34.366
5-FU,ERLOTINIB,A2058,32.4505
5-FU,GELDANAMYCIN,A2058,0.798
5-FU,GELDANAMYCIN,A2058,3.527
5-FU,GELDANAMYCIN,A2058,4.118
5-FU,GELDANAMYCIN,A2058,1.737
5-FU,L778123,A2058,13.9845
5-FU,L778123,A2058,20.404
5-FU,L778123,A2058,18.7405
5-FU,L778123,A2058,17.5705
5-FU,LAPATINIB,A2058,32.9485
5-FU,LAPATINIB,A2058,27.8995
5-FU,LAPATINIB,A2058,32.376
5-FU,LAPATINIB,A2058,28.7515
5-FU,MK-2206,A2058,28.602
5-FU,MK-2206,A2058,25.868
5-FU,MK-2206,A2058,25.2005
5-FU,MK-2206,A2058,28.7135
5-FU,MK-4827,A2058,-9.578
5-FU,MK-4827,A2058,-8.3945
5-FU,MK-4827,A2058,-7.929
5-FU,MK-4827,A2058,-9.917
5-FU,MK-5108,A2058,28.8355
5-FU,MK-5108,A2058,40.055
5-FU,MK-5108,A2058,31.956
5-FU,MK-5108,A2058,28.538
5-FU,MK-8669,A2058,19.8245
5-FU,MK-8669,A2058,16.6
5-FU,MK-8669,A2058,18.8625
5-FU,MK-8669,A2058,16.949
5-FU,MK-8776,A2058,13.4235
5-FU,MK-8776,A2058,1.5155
5-FU,MK-8776,A2058,13.7305
5-FU,MK-8776,A2058,10.2435
5-FU,PD325901,A2058,14.8565
5-FU,PD325901,A2058,10.8765
5-FU,PD325901,A2058,15.7685
5-FU,PD325901,A2058,20.319
5-FU,SORAFENIB,A2058,46.9815
5-FU,SORAFENIB,A2058,57.4695
5-FU,SORAFENIB,A2058,52.133
5-FU,SORAFENIB,A2058,50.0745
5-FU,SUNITINIB,A2058,12.459
5-FU,SUNITINIB,A2058,20.9475
5-FU,SUNITINIB,A2058,15.9235
5-FU,SUNITINIB,A2058,18.2325
5-FU,TEMOZOLOMIDE,A2058,-16.738
5-FU,TEMOZOLOMIDE,A2058,-8.784
5-FU,TEMOZOLOMIDE,A2058,-13.93
5-FU,TEMOZOLOMIDE,A2058,-6.4265
5-FU,ZOLINZA,A2058,40.027
5-FU,ZOLINZA,A2058,38.5735
5-FU,ZOLINZA,A2058,39.6945
5-FU,ZOLINZA,A2058,44.047
ABT-888,BEZ-235,A2058,0.012
ABT-888,BEZ-235,A2058,-0.467
ABT-888,BEZ-235,A2058,11.935
ABT-888,BEZ-235,A2058,2.124
ABT-888,DINACICLIB,A2058,11.777
ABT-888,DINACICLIB,A2058,13.814
ABT-888,DINACICLIB,A2058,11.7055
ABT-888,DINACICLIB,A2058,17.8555
ABT-888,GELDANAMYCIN,A2058,10.4625
ABT-888,GELDANAMYCIN,A2058,16.001
ABT-888,GELDANAMYCIN,A2058,9.167
ABT-888,GELDANAMYCIN,A2058,8.4905
ABT-888,MK-8669,A2058,13.206
ABT-888,MK-8669,A2058,4.1595
ABT-888,MK-8669,A2058,2.392
ABT-888,MK-8669,A2058,7.6285
ABT-888,MK-8776,A2058,2.259
ABT-888,MK-8776,A2058,-4.112
ABT-888,MK-8776,A2058,-4.891
ABT-888,MK-8776,A2058,-1.445
ABT-888,OXALIPLATIN,A2058,27.049
ABT-888,OXALIPLATIN,A2058,24.4085
ABT-888,OXALIPLATIN,A2058,23.5745
ABT-888,OXALIPLATIN,A2058,27.11
ABT-888,SN-38,A2058,40.0575
ABT-888,SN-38,A2058,39.771
ABT-888,SN-38,A2058,45.8145
ABT-888,SN-38,A2058,35.3455
ABT-888,SORAFENIB,A2058,64.875
ABT-888,SORAFENIB,A2058,53.059
ABT-888,SORAFENIB,A2058,48.7585
ABT-888,SORAFENIB,A2058,40.638
ABT-888,TOPOTECAN,A2058,-4.594
ABT-888,TOPOTECAN,A2058,-4.2755
ABT-888,TOPOTECAN,A2058,-11.2635
ABT-888,TOPOTECAN,A2058,-4.1245
AZD1775,ABT-888,A2058,20.6035
AZD1775,ABT-888,A2058,23.4635
AZD1775,ABT-888,A2058,18.0005
AZD1775,ABT-888,A2058,22.422
AZD1775,BEZ-235,A2058,3.2615
AZD1775,BEZ-235,A2058,4.5925
AZD1775,BEZ-235,A2058,2.0925
AZD1775,BEZ-235,A2058,2.7845
AZD1775,BORTEZOMIB,A2058,7.06
AZD1775,BORTEZOMIB,A2058,12.8545
AZD1775,BORTEZOMIB,A2058,12.2625
AZD1775,BORTEZOMIB,A2058,20.8265
AZD1775,DASATINIB,A2058,19.6865
AZD1775,DASATINIB,A2058,26.8115
AZD1775,DASATINIB,A2058,24.3835
AZD1775,DASATINIB,A2058,22.7445
AZD1775,DINACICLIB,A2058,12.9635
AZD1775,DINACICLIB,A2058,15.952
AZD1775,DINACICLIB,A2058,3.0175
AZD1775,DINACICLIB,A2058,17.5795
AZD1775,ERLOTINIB,A2058,34.968
AZD1775,ERLOTINIB,A2058,26.832
AZD1775,ERLOTINIB,A2058,35.8625
AZD1775,ERLOTINIB,A2058,29.5085
AZD1775,GELDANAMYCIN,A2058,7.4385
AZD1775,GELDANAMYCIN,A2058,2.328
AZD1775,GELDANAMYCIN,A2058,0.0355
AZD1775,GELDANAMYCIN,A2058,8.612
AZD1775,LAPATINIB,A2058,37.9395
AZD1775,LAPATINIB,A2058,36.9705
AZD1775,LAPATINIB,A2058,42.3675
AZD1775,LAPATINIB,A2058,39.6355
AZD1775,MK-2206,A2058,28.7265
AZD1775,MK-2206,A2058,35.3465
AZD1775,MK-2206,A2058,41.5795
AZD1775,MK-2206,A2058,33.264
AZD1775,MK-4827,A2058,4.7825
AZD1775,MK-4827,A2058,6.72
AZD1775,MK-4827,A2058,2.3885
AZD1775,MK-4827,A2058,7.722
AZD1775,MK-5108,A2058,25.349
AZD1775,MK-5108,A2058,30.5735
AZD1775,MK-5108,A2058,26.1655
AZD1775,MK-5108,A2058,26.037
AZD1775,MK-8669,A2058,29.82
AZD1775,MK-8669,A2058,23.5695
AZD1775,MK-8669,A2058,23.0485
AZD1775,MK-8669,A2058,24.5175
AZD1775,MK-8776,A2058,36.8585
AZD1775,MK-8776,A2058,37.6805
AZD1775,MK-8776,A2058,38.265
AZD1775,MK-8776,A2058,36.693
AZD1775,OXALIPLATIN,A2058,33.02
AZD1775,OXALIPLATIN,A2058,31.6665
AZD1775,OXALIPLATIN,A2058,40.093
AZD1775,OXALIPLATIN,A2058,35.3945
AZD1775,PD325901,A2058,24.6405
AZD1775,PD325901,A2058,37.398
AZD1775,PD325901,A2058,27.8075
AZD1775,PD325901,A2058,25.625
AZD1775,SN-38,A2058,43.666
AZD1775,SN-38,A2058,43.7135
AZD1775,SN-38,A2058,38.205
AZD1775,SN-38,A2058,38.911
AZD1775,SORAFENIB,A2058,46.0625
AZD1775,SORAFENIB,A2058,43.6045
AZD1775,SORAFENIB,A2058,49.9815
AZD1775,SORAFENIB,A2058,50.4015
AZD1775,TOPOTECAN,A2058,-9.99
AZD1775,TOPOTECAN,A2058,-11.967
AZD1775,TOPOTECAN,A2058,-11.1755
AZD1775,TOPOTECAN,A2058,-13.684
BEZ-235,DINACICLIB,A2058,-12.055
BEZ-235,DINACICLIB,A2058,-11.524
BEZ-235,DINACICLIB,A2058,-8.5445
BEZ-235,DINACICLIB,A2058,-9.553
BEZ-235,MK-8776,A2058,-7.0625
BEZ-235,MK-8776,A2058,-12.006
BEZ-235,MK-8776,A2058,-2.0145
BEZ-235,MK-8776,A2058,1.42E-14
BEZ-235,OXALIPLATIN,A2058,6.145
BEZ-235,OXALIPLATIN,A2058,7.608
BEZ-235,OXALIPLATIN,A2058,7.1535
BEZ-235,OXALIPLATIN,A2058,8.192
BEZ-235,SN-38,A2058,-4.7195
BEZ-235,SN-38,A2058,-1.3565
BEZ-235,SN-38,A2058,-1.9295
BEZ-235,SN-38,A2058,0.621
BEZ-235,SORAFENIB,A2058,19.0995
BEZ-235,SORAFENIB,A2058,18.3935
BEZ-235,SORAFENIB,A2058,20.31
BEZ-235,SORAFENIB,A2058,24.9495
BORTEZOMIB,ABT-888,A2058,14.0945
BORTEZOMIB,ABT-888,A2058,25.1885
BORTEZOMIB,ABT-888,A2058,18.2265
BORTEZOMIB,ABT-888,A2058,24.1205
BORTEZOMIB,BEZ-235,A2058,-9.052
BORTEZOMIB,BEZ-235,A2058,2.356
BORTEZOMIB,BEZ-235,A2058,-17.255
BORTEZOMIB,BEZ-235,A2058,-10.221
BORTEZOMIB,DASATINIB,A2058,20.344
BORTEZOMIB,DASATINIB,A2058,3.4945
BORTEZOMIB,DASATINIB,A2058,13.0825
BORTEZOMIB,DASATINIB,A2058,5.6535
BORTEZOMIB,DINACICLIB,A2058,2.003
BORTEZOMIB,DINACICLIB,A2058,5.818
BORTEZOMIB,DINACICLIB,A2058,-3.7325
BORTEZOMIB,DINACICLIB,A2058,-7.1485
BORTEZOMIB,GELDANAMYCIN,A2058,-11.04
BORTEZOMIB,GELDANAMYCIN,A2058,-11.0565
BORTEZOMIB,GELDANAMYCIN,A2058,-8.6585
BORTEZOMIB,GELDANAMYCIN,A2058,-11.2805
BORTEZOMIB,MK-8669,A2058,-6.598
BORTEZOMIB,MK-8669,A2058,-4.251
BORTEZOMIB,MK-8669,A2058,-3.089
BORTEZOMIB,MK-8669,A2058,-4.7155
BORTEZOMIB,MK-8776,A2058,11.8745
