drug_row,drug_col,cell_line_name,synergy_zip
5-FU,ABT-888,A2058,1.718274208
5-FU,ABT-888,A2058,5.879263982
5-FU,ABT-888,A2058,3.591061239
5-FU,ABT-888,A2058,-0.846206633
5-FU,AZD1775,A2058,12.28546574
5-FU,AZD1775,A2058,7.63577053
5-FU,AZD1775,A2058,14.79409848
5-FU,AZD1775,A2058,4.548226559
5-FU,BEZ-235,A2058,4.007025457
5-FU,BEZ-235,A2058,0.884057017
5-FU,BEZ-235,A2058,3.106244138
5-FU,BEZ-235,A2058,2.043964595
5-FU,BORTEZOMIB,A2058,-3.992753632
5-FU,BORTEZOMIB,A2058,-2.525080158
5-FU,BORTEZOMIB,A2058,-2.827713593
5-FU,BORTEZOMIB,A2058,-0.232309167
5-FU,DASATINIB,A2058,-5.788335196
5-FU,DASATINIB,A2058,5.555591581
5-FU,DASATINIB,A2058,4.260219306
5-FU,DASATINIB,A2058,2.001340269
5-FU,DINACICLIB,A2058,6.064621583
5-FU,DINACICLIB,A2058,1.396294508
5-FU,DINACICLIB,A2058,3.83892697
5-FU,DINACICLIB,A2058,-1.076177149
5-FU,ERLOTINIB,A2058,14.48897179
5-FU,ERLOTINIB,A2058,4.697736684
5-FU,ERLOTINIB,A2058,5.138026915
5-FU,ERLOTINIB,A2058,8.683706266
5-FU,GELDANAMYCIN,A2058,3.294763586
5-FU,GELDANAMYCIN,A2058,7.479460231
5-FU,GELDANAMYCIN,A2058,8.104141029
5-FU,GELDANAMYCIN,A2058,5.359730665
5-FU,L778123,A2058,0.549838596
5-FU,L778123,A2058,6.058663618
5-FU,L778123,A2058,9.239604492
5-FU,L778123,A2058,2.762252726
5-FU,LAPATINIB,A2058,5.621722201
5-FU,LAPATINIB,A2058,0.233511067
5-FU,LAPATINIB,A2058,10.99614153
5-FU,LAPATINIB,A2058,2.833414124
5-FU,MK-2206,A2058,13.28781509
5-FU,MK-2206,A2058,0.531647251
5-FU,MK-2206,A2058,7.469396759
5-FU,MK-2206,A2058,4.650784469
5-FU,MK-4827,A2058,0.883904157
5-FU,MK-4827,A2058,1.850766593
5-FU,MK-4827,A2058,1.921320104
5-FU,MK-4827,A2058,-0.084311849
5-FU,MK-5108,A2058,10.06253326
5-FU,MK-5108,A2058,8.19004228
5-FU,MK-5108,A2058,7.571660225
5-FU,MK-5108,A2058,5.303901817
5-FU,MK-8669,A2058,10.36211745
5-FU,MK-8669,A2058,1.859858308
5-FU,MK-8669,A2058,10.77564299
5-FU,MK-8669,A2058,10.73450803
5-FU,MK-8776,A2058,13.44334768
5-FU,MK-8776,A2058,-1.770842759
5-FU,MK-8776,A2058,1.478432672
5-FU,MK-8776,A2058,5.282146584
5-FU,PD325901,A2058,-2.257621815
5-FU,PD325901,A2058,-2.449692164
5-FU,PD325901,A2058,1.972559371
5-FU,PD325901,A2058,9.123582612
5-FU,SORAFENIB,A2058,5.489382991
5-FU,SORAFENIB,A2058,20.68656873
5-FU,SORAFENIB,A2058,7.327831624
5-FU,SORAFENIB,A2058,11.1084831
5-FU,SUNITINIB,A2058,9.948748374
5-FU,SUNITINIB,A2058,19.94959255
5-FU,SUNITINIB,A2058,13.13618373
5-FU,SUNITINIB,A2058,11.0947172
5-FU,TEMOZOLOMIDE,A2058,-4.969310341
5-FU,TEMOZOLOMIDE,A2058,2.435167078
5-FU,TEMOZOLOMIDE,A2058,-2.453636613
5-FU,TEMOZOLOMIDE,A2058,-1.765526256
5-FU,ZOLINZA,A2058,6.225572987
5-FU,ZOLINZA,A2058,3.432161292
5-FU,ZOLINZA,A2058,2.84164492
5-FU,ZOLINZA,A2058,13.44652717
ABT-888,BEZ-235,A2058,8.272623373
ABT-888,BEZ-235,A2058,6.341243005
ABT-888,BEZ-235,A2058,21.01170692
ABT-888,BEZ-235,A2058,9.674258216
ABT-888,DINACICLIB,A2058,8.188469953
ABT-888,DINACICLIB,A2058,6.606206316
ABT-888,DINACICLIB,A2058,4.036696163
ABT-888,DINACICLIB,A2058,6.935408333
ABT-888,GELDANAMYCIN,A2058,13.44950271
